Ticker,Name,Sector,Market Cap,Revenue,Volatility,Weights,1d Value,5d Value,1mo Value,3mo Value,6mo Value,1y Value,2y Value,5y Value,Initial Value
AMBA,"Ambarella, Inc.",Technology,2957922816,220408000,6.951663485894311,2.3817812028283183,238.17812028283183,221.6475186798955,275.5950139414317,312.215375231682,305.33116908131916,269.398411592873,204.7010104716663,289.13185103733383,238.17812028283183
TWST,Twist Bioscience Corporation,Healthcare,2845545728,295209984,6.891109059194619,2.378088830126179,237.8088830126179,235.40279688632805,273.65716674990085,251.723499549224,223.67190998640572,315.1937545529749,471.6821468373028,476.0149128130916,237.8088830126179
FLYW,Flywire Corporation - Voting,Technology,2504514048,475139008,3.0796935666369656,2.3702911655960035,237.02911655960037,225.8114579711558,208.08529672566118,289.35087832923983,293.44377922866255,203.12456210785555,217.87196349468323,0.0,237.02911655960037
QUBT,Quantum Computing Inc.,Technology,2272310528,386000,2.777852130132583,2.357685695330194,235.7685695330194,374.931626501956,872.7399565719193,6100.209145289774,7224.769528978476,4699.369205147989,2502.555708776186,1384.7474643455532,235.7685695330194
MNKD,MannKind Corporation,Healthcare,1889079168,267200000,1.162264732628663,2.353019971480854,235.3019971480854,257.0683672930507,233.59690373140597,247.21145134040214,315.4243866752522,471.29199475658254,309.9651379125762,1230.3959758992826,235.3019971480854
WGS,GeneDx Holdings Corp.,Healthcare,2126286464,267228000,24.19202998102807,2.3434641960271065,234.34641960271065,225.32190353831135,251.67772043346758,451.99134692387787,660.5394697587768,6478.0048370462155,2097.896533298893,0.0,234.34641960271065
TARS,"Tarsus Pharmaceuticals, Inc.",Healthcare,2022585216,129621000,8.114504383301977,2.3394048091496207,233.94048091496208,239.2768397263948,266.7627241910893,373.04974971875856,474.608544698003,615.8104763483136,858.376611929627,0.0,233.94048091496208
VITL,"Vital Farms, Inc.",Consumer Defensive,1738009216,576129024,9.429902639090642,2.325319818852502,232.53198188525022,237.55970152326478,297.4280965988989,268.83756333921406,218.0296159335542,616.9247338340701,600.0776315356349,0.0,232.53198188525022
ORC,"Orchid Island Capital, Inc.",Real Estate,633207296,75695000,0.2532697405529135,2.317632552569246,231.7632552569246,227.46071680154554,237.12295583274408,242.81087434749747,237.75855284228027,253.38935202475696,241.12426904222522,145.31793817152942,231.7632552569246
DXPE,"DXP Enterprises, Inc.",Industrials,1238013696,1738169984,11.687990238142476,2.29533673198989,229.533673198989,225.08223473378933,261.94465844980755,343.42972481558144,373.15777701329586,533.3023594882409,659.1050587577254,458.48606588882126,229.533673198989
ARVN,"Arvinas, Inc.",Healthcare,1269818112,161100000,8.200176876087562,2.289069274108299,228.9069274108299,222.75934516863762,168.46673878705388,174.6573094010949,167.73195991035914,112.32607357691076,125.33925670420328,100.43209926495527,228.9069274108299
INOD,Innodata Inc.,Technology,1247302912,137392992,10.348937206031472,2.2862858075876034,228.62858075876034,260.4161894011845,212.70419580482488,636.0488260301076,737.1300421448037,1150.0952813246238,3266.8820285196725,8333.318060837904,228.62858075876034
GCT,GigaCloud Technology Inc,Technology,734622592,1109997056,6.05312649329534,2.2369058833465587,223.69058833465584,200.9405060657243,166.28408696327404,223.69058833465584,136.74641416768677,269.1793570328258,693.9052199858513,0.0,223.69058833465584
TALK,"Talkspace, Inc.",Healthcare,503390560,181291008,0.5543897355225423,2.2347922347468594,223.47922347468594,199.39164890150136,201.19882227485832,328.0631032527353,312.66105842059784,269.62270546685204,903.6202178537378,0.0,223.47922347468594
CDXC,ChromaDex Corporation,Consumer Defensive,419344288,91668000,1.6008303340729066,2.1821753325746602,218.21753325746602,194.79905513170294,157.0136552645704,320.3246536317125,438.8330400246823,826.2166677519848,788.1672517569448,279.2573935408585,218.21753325746602
VXRT,"Vaxart, Inc. - Common Stock",Healthcare,140946608,13928000,0.21277333428337816,2.1747914550467993,217.47914550467993,232.47771574105758,224.7284431532989,160.52032792825725,189.9113736971534,224.7284431532989,146.56203130859257,449.4568863065978,217.47914550467993
